gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Gracom_Gcom_C553530_01	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L/HBP1	1.0/1.0/1.0
Spur_XM_030972448.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	75.0
Nvec_v1g132899	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	54.0/54.0
Bralan_BLAG05000728_1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	39.0
Dmel_FBtr0299814	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	100.0/100.0
Plajan_Pjan_scaffold7858_01	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Tadh_TriadT55419	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
Hsap_ENST00000222574	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	100.0
Morvir_scaffold388.g3.t2	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
TrH2_TrispH2_004726-RA	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
Cint_ENSCINT00000029722	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	62.0/62.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA75745	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	84.0/84.0
Spur_XM_030975906.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	21.0/21.0
Adig_XM_015920066.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Hsap_ENST00000244769	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1	100.0
Nvec_v1g120525	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Skow_XM_002736094.2	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	60.0/60.0
Exapal_XM_021051371.2	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Drer_ENSDART00000029067	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	100.0
Hsap_ENST00000427980	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1L	100.0
Hhon_g09065.t1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
Exapal_XM_021055328.2	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	54.0/54.0
Mmus_ENSMUST00000180110	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1	98.0
Dgig_XM_028536468.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	54.0/54.0
Hhon_g02533.t1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	21.0/21.0
Mmus_ENSMUST00000093162	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1L	100.0
Ocar_g2679	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	NA	NA
Mmus_ENSMUST00000172314	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	100.0
Spis_XP_022806112_1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	54.0/54.0
Tcas_TC003032_001	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	100.0/100.0
TrH2_TrispH2_001496-RA	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	21.0/21.0
Adig_XM_015892442.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	54.0/54.0
Bralan_BLAG07001164_1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1/ATXN1L	31.0/31.0
Drer_ENSDART00000127351	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	ATXN1L	100.0
Skow_XM_002739477.1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	75.0
Nemnom_g1696.t1	AXH.HG1.0:ATXN1/ATXN1L/HBP1	1.0	HBP1	56.0
