gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Plajan_Pjan_scaffold18906_01	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	100.0/100.0
Exapal_XM_021047291.2	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Skow_XM_006818088.1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	92.0/92.0
Drer_ENSDART00000143547	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A	100.0
Bralan_BLAG09001285_2	Myosin.HG1.0:MYO15A/MYO15B	100.0	NA	NA
Nvec_v1g40084	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Nemnom_g10277.t1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Hsap_ENST00000645453	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15B	100.0
Nemnom_g9208.t1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Hsap_ENST00000615845	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A	100.0
Skow_XM_006816555.1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	92.0/92.0
Emue_Em0020g312a.t1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	16.0/16.0
Dmel_FBtr0310334	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	100.0/100.0
Tcas_TC006465_001	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	100.0/100.0
Adig_XM_015911019.1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Hvul_g24560_1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Drer_ENSDART00000149546	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A	100.0
Skow_XM_006818090.1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	92.0/92.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA227847	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	100.0/100.0
Dgig_XM_028557362.1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Mmus_ENSMUST00000071880	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A	100.0
Spis_XP_022800025_1	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15A/MYO15B	99.0/99.0
Mmus_ENSMUST00000093911	Myosin.HG1.0:MYO15A/MYO15B	100.0	MYO15B	98.0
