gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Ocar_g3222	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	1.0/1.0/1.0/1.0
Cgig_XM_034445012.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Skow_XM_006820431.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Nemnom_g16458.t1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	92.0/92.0/92.0/92.0
Drer_ENSDART00000074070	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF2	100.0
Hsap_ENST00000409579	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF3	100.0
Hvul_g22237_1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	92.0/92.0/92.0/92.0
Bralan_BLAG06101466_12	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Morvir_scaffold307.g29.t1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	92.0/92.0/92.0/92.0
Spur_XM_030980567.1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Hsap_ENST00000370460	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF2	100.0
Hsap_ENST00000395146	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1	100.0
Tadh_TriadT56732	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	92.0/92.0/92.0/92.0
Mlei_ML0187.g1.i1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Drer_ENSDART00000151748	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF4	100.0
Mmus_ENSMUST00000238906	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF3	100.0
Nvec_v1g188910	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	32.0/32.0/32.0/32.0
Horcal_Hcv1.av93.c10.g423.i1	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
Dmel_FBtr0077632	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	38.0/38.0/38.0/38.0
TrH2_TrispH2_005852-RA	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4	1.0	AFF1/AFF2/AFF3/AFF4	92.0/92.0/92.0/92.0
