gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Choper_EP00045_Choanoeca_perplexa_P003590	OG0	1	NA	NA	Choper	TRUE	FALSE	2.7701011	232	Chofle	0.9496139780577	FALSE
Pbac_sb2658095	OG0	1	NA	NA	Pbac	TRUE	TRUE	2.093426	350	Horcal	0.905352986811482	FALSE
Nvec_NVE15067	OG0	1	NA	NA	Nvec	TRUE	TRUE	1.3505099	76	Exapal	0.795807734007951	FALSE
Coeast_Cast_sb767422	OG0	1	NA	NA	Coeast	TRUE	FALSE	1.63745006	211	Coemet	0.851830663615561	FALSE
Mylflu_EP00047_Mylnosiga_fluctuans_P013616	OG0	1	NA	NA	Mylflu	TRUE	FALSE	1.0034951	209	Salmac	0.204435483870968	FALSE
Aque_Aqu2.1.43509_001	OG0	1	NA	NA	Aque	TRUE	FALSE	1.8863331	206	Halamb	0.784065524944155	FALSE
Clacor_Ccor_C531143_01	OG0	1	NA	NA	Clacor	TRUE	FALSE	2.0034457	253	Cgig	0.00305810397553517	TRUE
Plajan_Pjan_C540646_01	OG0	1	NA	NA	Plajan	TRUE	FALSE	1.7307906	209	Opea	0.627450980392157	FALSE
Cscu_XM_023371252.1	OG0	1	NA	NA	Cscu	TRUE	FALSE	1.2623087	203	Dpul	0.177921092564492	FALSE
Stycar_maker-SC_scaffold3826-augustus-gene-0.24-mRNA-1	OG0	1	NA	NA	Stycar	TRUE	TRUE	1.5968226965	206	Tetwil	0.623758099352052	FALSE
Chem_TCONS_00023100	OG0	1	NA	NA	Chem	TRUE	FALSE	1.3251481	202	Rhoesc	0.0256410256410256	FALSE
Tcas_TC006738_001	OG0	1	NA	NA	Tcas	TRUE	FALSE	1.3928006	203	Cscu	0.2742193755004	FALSE
Saldol_EP00054_Salpingoeca_dolichothecata_P016937	OG0	1	NA	NA	Saldol	TRUE	TRUE	1.0927296329	196	Lcom	0.0238185255198488	FALSE
Stycar_maker-SC_scaffold74460-augustus-gene-0.18-mRNA-1	OG0	1	NA	NA	Stycar	TRUE	TRUE	1.6077867	138	Tetwil	0.623758099352052	FALSE
TrH2_TrispH2_009305-RA	OG0	1	NA	NA	TrH2	TRUE	FALSE	1.6387979	188	Tadh	0.959603378626515	FALSE
Pbac_sb2668582	OG0	1	NA	NA	Pbac	TRUE	TRUE	4.5976517	288	Cgig	0.000775795190069822	TRUE
Pocdam_XM_027183689.1	OG0	1	NA	NA	Pocdam	TRUE	TRUE	1.4002369	100	Spis	0.934686346863469	FALSE
Xesp_018776-T1	OG0	1	NA	NA	Xesp	TRUE	FALSE	1.4817856	187	Dgig	0.973204317082248	FALSE
Sros_EGD77316	OG0	1	NA	NA	Sros	TRUE	FALSE	2.8775157	202	Microa	0.958815958815959	FALSE
Gfas_gfas1.m1.17147.m1	OG0	1	NA	NA	Gfas	TRUE	FALSE	1.33054606	202	Pocdam	0.0510653930933137	FALSE
Leuniv_Lniv_scaffold25905_01	OG0	1	NA	NA	Leuniv	TRUE	FALSE	2.8816107	207	Scil	0.390832328106152	FALSE
Salkve_EP00050_Salpingoeca_kvevrii_P019572	OG0	1	NA	NA	Salkve	TRUE	FALSE	1.0204027	201	Salurc	0.318857589984351	FALSE
Pbac_sb2640439	OG0	1	NA	NA	Pbac	TRUE	TRUE	1.812416091	98	Horcal	0.905352986811482	FALSE
Gracom_Gcom_scaffold14696_01	OG0	1	NA	NA	Gracom	TRUE	FALSE	2.9095254	286	Scil	0.450660450660451	FALSE
Amil_Amillepora14842-RA	OG0	1	NA	NA	Amil	TRUE	FALSE	1.3578731	202	Adig	0.859457422758101	FALSE
