gene	orthogroup	orthogroup_support	reference_ortholog	reference_support	species	is_largest_og	is_duplicated_in_og	dist_to_root	prot_length	closest_neighbours	closest_neighbours_freq	is_outlier_to_closest
Hsap_ENST00000338333	OG0	49	NA	NA	Hsap	FALSE	FALSE	0.470505	334	Aaur	0.000725689404934688	TRUE
Nvec_v1g186929	OG0	49	NA	NA	Nvec	FALSE	FALSE	0.29893348	298	Exapal	0.795807734007951	FALSE
Emue_Em0005g145a.t1	OG0	49	NA	NA	Emue	FALSE	FALSE	0.475046018	309	Spolac	0.933360927152318	FALSE
Aaur_scaffold2742.g1.t1	OG0	49	NA	NA	Aaur	FALSE	FALSE	0.14894898	125	Rhoesc	0.65149359886202	FALSE
Dgig_XM_028553521.1	OG0	49	NA	NA	Dgig	FALSE	FALSE	0.29890876	300	Xesp	0.930909090909091	FALSE
Opea_EP00118_Oscarella_pearsei_P018200	OG0	49	NA	NA	Opea	FALSE	FALSE	0.78485898	192	Ocar	0.713865391688121	FALSE
Gfas_gfas1.m1.8091.m1	OG0	49	NA	NA	Gfas	FALSE	FALSE	0.18130366	253	Amil	0.233284349742836	FALSE
Ocar_g1893	OG0	49	NA	NA	Ocar	FALSE	FALSE	0.55089848	75	Opea	0.96857855361596	FALSE
Chem_TCONS_00028769	OG0	49	NA	NA	Chem	FALSE	FALSE	0.32971418	172	Hvul	0.722287968441815	FALSE
Exapal_XM_028658750.1	OG0	49	NA	NA	Exapal	FALSE	FALSE	0.25815358	306	Gfas	0.0453050785531604	FALSE
Bralan_BLAG04000847_1	OG0	49	NA	NA	Bralan	FALSE	FALSE	0.3124428	306	Dpul	0.00543478260869565	TRUE
Fspp_ffun1.m4.28387.m1	OG0	49	NA	NA	Fspp	FALSE	FALSE	0.19125884	293	Gfas	0.0567557671182717	FALSE
Rhoesc_Res_007417-T1	OG0	49	NA	NA	Rhoesc	FALSE	FALSE	0.19525298	307	Aaur	0.024718284260269	FALSE
Spis_XP_022792535_1	OG0	49	NA	NA	Spis	FALSE	FALSE	0.25046386	330	Pocdam	0.896676300578035	FALSE
Opea_EP00118_Oscarella_pearsei_P018206	OG0	49	NA	NA	Opea	FALSE	FALSE	0.6658983137	55	Ocar	0.713865391688121	FALSE
Gasp_gasp1.m3.4411.m1	OG0	49	NA	NA	Gasp	FALSE	FALSE	0.40743856	300	Adig	0.004739336492891	TRUE
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA155245	OG0	49	NA	NA	Ctel	FALSE	FALSE	0.31212748	313	Cgig	0.276752767527675	FALSE
Xesp_012621-T1	OG0	49	NA	NA	Xesp	FALSE	FALSE	0.31530456	300	Dgig	0.973204317082248	FALSE
Sanmal_Sma_015285-T2	OG0	49	NA	NA	Sanmal	FALSE	FALSE	0.21609248	305	Aaur	0.412527798369162	FALSE
Chem_TCONS_00032202	OG0	49	NA	NA	Chem	FALSE	FALSE	0.2784961273	243	Hvul	0.722287968441815	FALSE
Skow_XM_002730615.2	OG0	49	NA	NA	Skow	FALSE	FALSE	0.25206168	307	Spur	0.449323088181486	FALSE
Amil_Amillepora24590-RA	OG0	49	NA	NA	Amil	FALSE	FALSE	0.19793454	573	Gfas	0.103240391861341	FALSE
Plajan_Pjan_C553495_01	OG0	49	NA	NA	Plajan	FALSE	FALSE	0.25849048	299	Sanmal	0.000435729847494553	TRUE
Adig_XM_015904547.1	OG0	49	NA	NA	Adig	FALSE	FALSE	0.28853966	98	Gasp	0.0116453794139745	FALSE
Opea_EP00118_Oscarella_pearsei_P018204	OG0	49	NA	NA	Opea	FALSE	FALSE	0.4698134505	342	Ocar	0.713865391688121	FALSE
Acagra_model.g25118.t1	OG0	49	NA	NA	Acagra	FALSE	FALSE	0.30897618	315	Cgig	0.738669590643275	FALSE
Nemnom_g5748.t1	OG0	49	NA	NA	Nemnom	FALSE	FALSE	0.24718048	331	Rhoesc	0.971304031965129	FALSE
Spur_XM_001175797.4	OG0	49	NA	NA	Spur	FALSE	FALSE	0.236245843	311	Skow	0.621086721842389	FALSE
Opea_EP00118_Oscarella_pearsei_P018203	OG0	49	NA	NA	Opea	FALSE	FALSE	0.6614362655	222	Ocar	0.713865391688121	FALSE
Spur_XM_791348.5	OG0	49	NA	NA	Spur	FALSE	FALSE	0.2362459359	309	Skow	0.621086721842389	FALSE
Morvir_scaffold297.g18.t1	OG0	49	NA	NA	Morvir	FALSE	FALSE	0.32845858	321	Exapal	0.00677966101694915	TRUE
Hvul_g19858_1	OG0	49	NA	NA	Hvul	FALSE	FALSE	0.26672018	300	Chem	0.788721804511278	FALSE
Dpul_mRNA12957	OG0	49	NA	NA	Dpul	FALSE	FALSE	0.1946728	334	Aaur	0.000808407437348424	TRUE
Pocdam_XM_027184759.1	OG0	49	NA	NA	Pocdam	FALSE	FALSE	0.22196096	315	Spis	0.934686346863469	FALSE
Cgig_XM_011447132.3	OG0	49	NA	NA	Cgig	FALSE	FALSE	0.28371218	318	Acagra	0.765387400434468	FALSE
Cscu_XM_023388449.1	OG0	49	NA	NA	Cscu	FALSE	FALSE	0.296415	318	Aaur	0.000758725341426404	TRUE
Opea_EP00118_Oscarella_pearsei_P018205	OG0	49	NA	NA	Opea	FALSE	FALSE	0.4936517467	114	Ocar	0.713865391688121	FALSE
Spolac_c110616_g1_i1_m.45673c110616-g1	OG0	49	NA	NA	Spolac	FALSE	FALSE	0.43815698	304	Emue	0.829240649792218	FALSE
Emue_Em0005g176a.t1	OG0	49	NA	NA	Emue	FALSE	FALSE	0.51422278	337	Spolac	0.933360927152318	FALSE
Lcom_lcpid147944	OG0	49	NA	NA	Lcom	FALSE	FALSE	0.4394448	221	Bralan	0.0101781170483461	FALSE
Hsap_ENST00000221801	OG0	49	NA	NA	Hsap	FALSE	FALSE	0.2915	321	Aaur	0.000725689404934688	TRUE
Pbac_sb2664980	OG1	71	NA	NA	Pbac	TRUE	TRUE	0.44389998	283	Horcal	0.905352986811482	FALSE
HoiH06_mRNA9676	OG1	71	NA	NA	HoiH06	TRUE	FALSE	0.2133265004	319	HoiH23	0.945999211667324	FALSE
Didcos_EP00039_Didymoeca_costata_P018269	OG1	71	NA	NA	Didcos	TRUE	FALSE	0.6087445	317	Diagra	0.289731051344743	FALSE
Salurc_EP00051_Salpingoeca_urceolata_P003671	OG1	71	NA	NA	Salurc	TRUE	FALSE	0.4714863	318	Salkve	0.291891891891892	FALSE
Salkve_EP00050_Salpingoeca_kvevrii_P005950	OG1	71	NA	NA	Salkve	TRUE	FALSE	0.4632753	321	Salurc	0.318857589984351	FALSE
TrH2_TrispH2_010645-RA	OG1	71	NA	NA	TrH2	TRUE	FALSE	0.2754183222	312	Tadh	0.959603378626515	FALSE
Salpun_EP00053_Salpingoeca_punica_P021039	OG1	71	NA	NA	Salpun	TRUE	FALSE	0.3760438	308	Salmac	0.693967239312825	FALSE
Mbre_EDQ84233	OG1	71	NA	NA	Mbre	TRUE	FALSE	0.4857777	309	Chofle	0.458812701334561	FALSE
HoiH04_mRNA11861	OG1	71	NA	NA	HoiH04	TRUE	FALSE	0.2491464	322	HoiH06	0.0254777070063694	FALSE
HoiH23_PlH23_006277-RA	OG1	71	NA	NA	HoiH23	TRUE	FALSE	0.21750162	320	HoiH06	0.839677891654466	FALSE
Salinf_EP00049_Salpingoeca_infusionum_P025010	OG1	71	NA	NA	Salinf	TRUE	FALSE	0.5216319	306	Mbre	0.06070826306914	FALSE
Salmac_EP00052_Salpingoeca_macrocollata_P015366	OG1	71	NA	NA	Salmac	TRUE	FALSE	0.4844773	299	Salpun	0.678018575851393	FALSE
Codhol_EP00042_Codosiga_hollandica_P020985	OG1	71	NA	NA	Codhol	TRUE	FALSE	0.6008213	304	Salpun	0.082018927444795	FALSE
