gene_module	gene	membership_score	gene_name	pfam	ct_top	orthogroup	is_transcription_factor
TrH2.bisque4	TrH2_TrispH2_009760	0.725		Snurportin1/	unknown_2	OG_2308	FALSE
TrH2.bisque4	TrH2_TrispH2_000388	0.727	BRMS1_like_transcriptional_repressor	Sds3/	unknown_2	OG_3971	FALSE
TrH2.bisque4	TrH2_TrispH2_004039	0.718	MNAT1_component_of_CDK_activating_kinase	zf-C3HC4_5/MAT1/	unknown_2	OG_1089	FALSE
TrH2.bisque4	TrH2_TrispH2_005377	0.718	GINS_complex_subunit_3	Sld5/	unknown_2	OG_256	FALSE
TrH2.bisque4	TrH2_TrispH2_001361	0.776	beta_1_3_galactosyltransferase_1	Galactosyl_T/	unknown_2	OG_10760	FALSE
TrH2.bisque4	TrH2_TrispH2_004115	0.944			unknown_2	OG_3165	FALSE
TrH2.bisque4	TrH2_TrispH2_002028	0.786	phosphatidylinositol_glycan_anchor_biosynthesis_class_F	PIG-F/	unknown_2	OG_212	FALSE
TrH2.bisque4	TrH2_TrispH2_000969	0.715	DNA_polymerase_delta_3_accessory_subunit	CDC27/	unknown_2	OG_872	FALSE
TrH2.bisque4	TrH2_TrispH2_001906	0.956	plasminogen	Kringle/Kringle/	unknown_2	OG_7973	FALSE
TrH2.bisque4	TrH2_TrispH2_004112	0.713	NIMA_related_kinase_7	Pkinase/	unknown_2	OG_6968	FALSE
TrH2.bisque4	TrH2_TrispH2_000940	0.534	COMM_domain_containing_2	COMM_domain/	unknown_2	OG_6880	FALSE
TrH2.bisque4	TrH2_TrispH2_001985	0.781	strawberry_notch_homolog_1	AAA_34/Helicase_C_4/	unknown_2	OG_7815	FALSE
TrH2.bisque4	TrH2_TrispH2_001975	0.534	SMG6_nonsense_mediated_mRNA_decay_factor	EST1/EST1_DNA_bind/PIN_4/	unknown_2	OG_4186	FALSE
TrH2.bisque4	TrH2_TrispH2_002199	0.856			unknown_2	OG_1327	FALSE
TrH2.bisque4	TrH2_TrispH2_000107	0.854	MAPK_associated_protein_1	CRIM/SIN1_PH/	unknown_2	OG_1710	FALSE
TrH2.bisque4	TrH2_TrispH2_011530	0.534			unknown_2	OG_6458	FALSE
TrH2.bisque4	TrH2_TrispH2_006981	0.844	MYST_Esa1_associated_factor_6	NuA4/	unknown_2	OG_1522	FALSE
