gene	gene_module	membership_score	gene_name	pfam
Tadh_TriadG50246	brown	0.985	ATPase_H_transporting_V1_subunit_A	ATP-synt_ab_N/ATP-synt_ab_Xtn/ATP-synt_ab/
Tadh_TriadG32492	brown	0.985	ATPase_H_transporting_V1_subunit_B2	ATP-synt_ab_N/ATP-synt_ab/
Tadh_TriadG63114	brown	0.985	ATPase_H_transporting_V0_subunit_c	ATP-synt_C/ATP-synt_C/
Tadh_TriadG63587	brown	0.985	ATPase_H_transporting_V1_subunit_D	ATP-synt_D/
Tadh_TriadG64078	brown	0.983	ATPase_H_transporting_V0_subunit_b	ATP-synt_C/ATP-synt_C/
Tadh_TriadG63746	brown	0.982		
Tadh_TriadG63123	brown	0.978	ATPase_H_transporting_V0_subunit_e1	ATP_synt_H/
Tadh_TriadG63784	brown	0.976	ATPase_H_transporting_V1_subunit_E1	vATP-synt_E/
Tadh_TriadG22309	brown	0.974	tubulin_beta_4B_class_IVb	Tubulin/Tubulin_C/
Tadh_TriadG36227	brown	0.973	ATPase_H_transporting_V1_subunit_H	V-ATPase_H_N/V-ATPase_H_C/
Tadh_TriadG25492	brown	0.972	EH_domain_containing_4	EHD_N/Dynamin_N/DUF5600/EF-hand_4/
Tadh_TriadG58643	brown	0.97	CD151_molecule_Raph_blood_group	Tetraspanin/
Tadh_TriadG52140	brown	0.97	tetraspanin_11	Tetraspanin/
Tadh_TriadG37067	brown	0.968	ATPase_H_transporting_V0_subunit_d1	vATP-synt_AC39/
Tadh_TriadG37048	brown	0.968	ATP_synthase_membrane_subunit_c_locus_2	ATP-synt_C/
Tadh_TriadG56473	brown	0.967	1_acylglycerol_3_phosphate_O_acyltransferase_3	Acyltransferase/Acyltransf_C/
Tadh_TriadG29364	brown	0.967	sorting_nexin_7	PX/Vps5/
Tadh_TriadG64165	brown	0.966	fatty_acid_binding_protein_4	
Tadh_TriadG9015	brown	0.966	glutathione_peroxidase_4	GSHPx/
Tadh_TriadG59655	brown	0.966	vesicle_associated_membrane_protein_7	Longin/Synaptobrevin/
Tadh_TriadG63741	brown	0.965	ATP_synthase_peripheral_stalk_membrane_subunit_b	Mt_ATP-synt_B/
