gene	gene_module	membership_score	gene_name	pfam
HoiH23_PlH23_007690	turquoise	0.962	ATPase_H_transporting_V1_subunit_B2	ATP-synt_ab_N/ATP-synt_ab/
HoiH23_PlH23_004274	turquoise	0.956	ATPase_H_transporting_V1_subunit_D	ATP-synt_D/
HoiH23_PlH23_002171	turquoise	0.954	ATPase_H_transporting_V1_subunit_E1	vATP-synt_E/
HoiH23_PlH23_008515	turquoise	0.954	ATPase_H_transporting_V1_subunit_H	V-ATPase_H_N/V-ATPase_H_C/
HoiH23_PlH23_002029	turquoise	0.954	ATPase_H_transporting_V1_subunit_A	ATP-synt_ab_N/ATP-synt_ab_Xtn/ATP-synt_ab/
HoiH23_PlH23_008761	turquoise	0.952	NADH_ubiquinone_oxidoreductase_subunit_B3	NDUF_B12/
HoiH23_PlH23_000022	turquoise	0.95	ATPase_H_transporting_V1_subunit_G1	V-ATPase_G/
HoiH23_PlH23_007559	turquoise	0.95	ATPase_H_transporting_V1_subunit_C1	V-ATPase_C/V-ATPase_C/
HoiH23_PlH23_003158	turquoise	0.949	ATP_synthase_F1_subunit_delta	ATP-synt_DE_N/
HoiH23_PlH23_003148	turquoise	0.948	ATP_synthase_peripheral_stalk_subunit_OSCP	OSCP/
HoiH23_PlH23_000968	turquoise	0.947	ATP_synthase_peripheral_stalk_membrane_subunit_b	Mt_ATP-synt_B/
HoiH23_PlH23_007765	turquoise	0.946	ATPase_H_transporting_V0_subunit_b	ATP-synt_C/ATP-synt_C/
HoiH23_PlH23_001778	turquoise	0.946	ATPase_H_transporting_V1_subunit_F	ATP-synt_F/
HoiH23_PlH23_003687	turquoise	0.943	ATPase_H_transporting_V0_subunit_e1	ATP_synt_H/
HoiH23_PlH23_008024	turquoise	0.942	cytochrome_c_oxidase_subunit_4I1	COX4/
HoiH23_PlH23_004776	turquoise	0.942	ATPase_H_transporting_V0_subunit_c	ATP-synt_C/ATP-synt_C/
HoiH23_PlH23_009026	turquoise	0.942	succinate_CoA_ligase_GDP_ADP_forming_subunit_alpha	CoA_binding/Ligase_CoA/
HoiH23_PlH23_001874	turquoise	0.939	ATP_synthase_membrane_subunit_c_locus_1	ATP-synt_C/
HoiH23_PlH23_000750	turquoise	0.938	ATPase_H_transporting_V0_subunit_d1	vATP-synt_AC39/
HoiH23_PlH23_010833	turquoise	0.937	cytochrome_c_oxidase_subunit_6B1	COX6B/
HoiH23_PlH23_001115	turquoise	0.937	cytochrome_c_oxidase_subunit_5B	COX5B/
HoiH23_PlH23_008318	turquoise	0.937		CX9C/
HoiH23_PlH23_002333	turquoise	0.937	titin	ig/Ig_3/fn3/fn3/fn3/
HoiH23_PlH23_005942	turquoise	0.936	advillin	Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/VHP/
HoiH23_PlH23_005729	turquoise	0.936	ubiquinol_cytochrome_c_reductase_Rieske_iron_sulfur_polypeptide_1	UCR_TM/Rieske/
HoiH23_PlH23_005391	turquoise	0.935	coiled_coil_helix_coiled_coil_helix_domain_containing_2	
HoiH23_PlH23_003000	turquoise	0.935	ATP_synthase_F1_subunit_beta	ATP-synt_ab_N/ATP-synt_ab/
HoiH23_PlH23_002201	turquoise	0.934	ribonuclease_K	
HoiH23_PlH23_001968	turquoise	0.933	NADH_ubiquinone_oxidoreductase_subunit_AB1	PP-binding/
HoiH23_PlH23_000653	turquoise	0.933	cellular_retinoic_acid_binding_protein_1	Lipocalin_7/
HoiH23_PlH23_004199	turquoise	0.932	glutamic_oxaloacetic_transaminase_1	Aminotran_1_2/
HoiH23_PlH23_011743	turquoise	0.932	NADH_ubiquinone_oxidoreductase_core_subunit_S8	Fer4_7/
HoiH23_PlH23_003613	turquoise	0.931	peptidylprolyl_cis_trans_isomerase_NIMA_interacting_1	WW/Rotamase/
HoiH23_PlH23_001667	turquoise	0.931	15_hydroxyprostaglandin_dehydrogenase	adh_short/
HoiH23_PlH23_006747	turquoise	0.93	adenosine_kinase	PfkB/
HoiH23_PlH23_001803	turquoise	0.929	tetraspanin_31	Tetraspanin/
HoiH23_PlH23_010229	turquoise	0.928	pleckstrin_homology_domain_containing_A8	GLTP/
HoiH23_PlH23_003766	turquoise	0.928	small_nuclear_ribonucleoprotein_U5_subunit_200	Helicase_PWI/DEAD/Helicase_C/Sec63/DEAD/Sec63/
HoiH23_PlH23_004478	turquoise	0.928	cytochrome_c1	Cytochrom_C1/
HoiH23_PlH23_001777	turquoise	0.927	cubilin	CUB/CUB/CUB/
HoiH23_PlH23_002381	turquoise	0.927	lysosomal_associated_membrane_protein_2	
HoiH23_PlH23_000438	turquoise	0.926		
HoiH23_PlH23_000871	turquoise	0.925	ATP_synthase_F1_subunit_gamma	ATP-synt/
HoiH23_PlH23_003112	turquoise	0.925		
HoiH23_PlH23_004171	turquoise	0.925		YMF19/
HoiH23_PlH23_008941	turquoise	0.924		Mt_ATP-synt_D/
HoiH23_PlH23_010801	turquoise	0.924		DOMON/
HoiH23_PlH23_001001	turquoise	0.923	sorting_nexin_4	PX/
HoiH23_PlH23_006214	turquoise	0.922	ATP_synthase_F1_subunit_alpha	ATP-synt_ab_N/ATP-synt_ab/ATP-synt_ab_C/
HoiH23_PlH23_004938	turquoise	0.922	CD82_molecule	Tetraspanin/
