#species_file	protein_name	nb_OG_fused	list_fused_OGs
Tetwil.fasta	Tetwil_g16536.t1	2	OG_1373 OG_1956
Hvul.fasta	Hvul_g27848_1	2	OG_1887 OG_3681
Xestes.fasta	Xestes_maker-XT_scaffold17187-augustus-gene-0.24-mRNA-1	2	OG_2608 OG_5886
Xesp.fasta	Xesp_011097-T1	2	OG_4185 OG_6726
Sanmal.fasta	Sanmal_Sma_022617-T1	2	OG_1301 OG_4511
Emue.fasta	Emue_Em0012g902a.t1	2	OG_2609 OG_5442
Ocar.fasta	Ocar_g9542	2	OG_126 OG_537
Pbac.fasta	Pbac_sb2642782	2	OG_918 OG_1069
Hvul.fasta	Hvul_g27891_1	2	OG_1268 OG_3518
Dpul.fasta	Dpul_mRNA5527	2	OG_3237 OG_5366
Tcas.fasta	Tcas_TC033608_001	2	OG_4326 OG_5912
Pbac.fasta	Pbac_sb2642803	4	OG_2596 OG_4974 OG_5841 OG_6022
Halamb.fasta	Halamb_c47742_g1_i1mm.2371	2	OG_2611 OG_3645
Pocdam.fasta	Pocdam_XM_027196031.1	2	OG_787 OG_3733
Pbac.fasta	Pbac_sb2642825	2	OG_1191 OG_4160
Ocar.fasta	Ocar_g9593	2	OG_653 OG_6112
Nemnom.fasta	Nemnom_g1705.t1	2	OG_27 OG_4167
Pbac.fasta	Pbac_sb2642843	2	OG_1822 OG_4810
Stedip.fasta	Stedip_EP00041_Stephanoeca_diplocostata_P030551	2	OG_2249 OG_6625
Salurc.fasta	Salurc_EP00051_Salpingoeca_urceolata_P017839	2	OG_314 OG_6233
Pbac.fasta	Pbac_sb2668349	3	OG_1341 OG_2746 OG_3047
Pbac.fasta	Pbac_sb2668361	2	OG_4420 OG_6481
Aque.fasta	Aque_Aqu2.1.31956_001	2	OG_2307 OG_2617
Sanmal.fasta	Sanmal_Sma_022705-T1	2	OG_2386 OG_2924
Halamb.fasta	Halamb_c47780_g1_i5mm.2387	2	OG_2888 OG_3038
Emue.fasta	Emue_Em0001g1112a.t1	2	OG_1557 OG_2108
Tcas.fasta	Tcas_TC033711_001	2	OG_952 OG_2360
Tetwil.fasta	Tetwil_g16734.t2	2	OG_1151 OG_2163
Tadh.fasta	Tadh_TriadT64079	2	OG_530 OG_6094
Xestes.fasta	Xestes_maker-XT_scaffold1756-augustus-gene-0.77-mRNA-1	2	OG_2496 OG_5555
Xestes.fasta	Xestes_maker-XT_scaffold1756-augustus-gene-0.79-mRNA-1	2	OG_2888 OG_3038
Hvul.fasta	Hvul_g27977_1	2	OG_784 OG_3277
Sanmal.fasta	Sanmal_Sma_022739-T1	2	OG_274 OG_5428
Sanmal.fasta	Sanmal_Sma_022740-T1	2	OG_200 OG_756
Exapal.fasta	Exapal_XM_028659455.1	3	OG_958 OG_2946 OG_6301
Ocar.fasta	Ocar_g9651	2	OG_1806 OG_2251
Ocar.fasta	Ocar_g9659	2	OG_3160 OG_6020
Nemnom.fasta	Nemnom_g1711.t1	2	OG_5324 OG_6082
Sanmal.fasta	Sanmal_Sma_022765-T1	3	OG_641 OG_850 OG_855
Sanmal.fasta	Sanmal_Sma_022770-T1	2	OG_270 OG_6143
Tcas.fasta	Tcas_TC033796_001	2	OG_1016 OG_2566
Pbac.fasta	Pbac_sb2668479	2	OG_2769 OG_3048
Tetwil.fasta	Tetwil_g1685.t3	2	OG_1719 OG_4362
Sanmal.fasta	Sanmal_Sma_022790-T1	2	OG_3099 OG_4057
Emue.fasta	Emue_Em0013g1097a.t1	2	OG_2835 OG_3705
Morvir.fasta	Morvir_scaffold416.g2.t1	2	OG_1210 OG_1800
Sanmal.fasta	Sanmal_Sma_022813-T1	2	OG_4251 OG_5024
Pbac.fasta	Pbac_sb2668561	2	OG_3092 OG_3884
Ocar.fasta	Ocar_g9722	2	OG_1247 OG_2762
Stycar.fasta	Stycar_augustus_masked-SC_scaffold140674-processed-gene-0.3-mRNA-1	2	OG_2910 OG_5706
Emue.fasta	Emue_Em0001g1238a.t1	2	OG_2071 OG_5952
Xesp.fasta	Xesp_011371-T1	2	OG_2296 OG_3602
Tcas.fasta	Tcas_TC034009_001	2	OG_219 OG_417
Pbac.fasta	Pbac_sb2668625	3	OG_436 OG_1866 OG_6494
Emue.fasta	Emue_Em0013g113a.t1	2	OG_1895 OG_2352
Sanmal.fasta	Sanmal_Sma_022870-T1	2	OG_1322 OG_5566
Xesp.fasta	Xesp_011404-T1	2	OG_1278 OG_5639
Pbac.fasta	Pbac_sb2643230	2	OG_327 OG_3305
Tadh.fasta	Tadh_TriadT64387	2	OG_88 OG_3236
Amil.fasta	Amil_Amillepora09568-RA	2	OG_479 OG_1886
Gfas.fasta	Gfas_gfas1.m1.7496.m1	2	OG_700 OG_6818
Mlei.fasta	Mlei_ML2087.g4.i1	2	OG_3375 OG_3969
Emue.fasta	Emue_Em0001g1294a.t1	2	OG_1865 OG_4348
Aque.fasta	Aque_Aqu2.1.32257_001	2	OG_1430 OG_5804
Acagra.fasta	Acagra_model.g30287.t1	2	OG_5904 OG_5963
Nemnom.fasta	Nemnom_g17288.t1	2	OG_2767 OG_6089
Salmac.fasta	Salmac_EP00052_Salpingoeca_macrocollata_P023821	2	OG_6077 OG_6633
TrH2.fasta	TrH2_TrispH2_003966-RA	2	OG_238 OG_2206
Xestes.fasta	Xestes_maker-XT_scaffold1806-augustus-gene-0.41-mRNA-1	2	OG_2520 OG_2523
Salinf.fasta	Salinf_EP00049_Salpingoeca_infusionum_P007708	2	OG_6249 OG_6291
Pbac.fasta	Pbac_sb2668773	2	OG_611 OG_3689
Xestes.fasta	Xestes_maker-XT_scaffold181445-augustus-gene-0.281-mRNA-1	2	OG_5433 OG_6163
Emue.fasta	Emue_Em0013g193a.t1	2	OG_1943 OG_3426
Pbac.fasta	Pbac_sb2668815	2	OG_3778 OG_5696
Pbac.fasta	Pbac_sb2643373	2	OG_1098 OG_5330
Pbac.fasta	Pbac_sb2668814	2	OG_3776 OG_6209
Nemnom.fasta	Nemnom_g1732.t1	2	OG_2680 OG_4528
Cgig.fasta	Cgig_XM_034480491.1	2	OG_1883 OG_4249
Morvir.fasta	Morvir_scaffold422.g15.t1	2	OG_4576 OG_6950
HoiH04.fasta	HoiH04_mRNA1526	2	OG_4159 OG_6146
Xesp.fasta	Xesp_011617-T1	2	OG_1290 OG_2826
Pbac.fasta	Pbac_sb2668872	2	OG_797 OG_6411
Xesp.fasta	Xesp_011634-T1	2	OG_2297 OG_5545
Xesp.fasta	Xesp_011640-T1	2	OG_136 OG_2618
Sanmal.fasta	Sanmal_Sma_023035-T1	2	OG_3413 OG_5645
Hvul.fasta	Hvul_g28309_1	2	OG_2735 OG_6217
Mlei.fasta	Mlei_ML2143.g6.i1	2	OG_5684 OG_6464
Fspp.fasta	Fspp_ffun1.m4.20875.m1	2	OG_3251 OG_5393
Xestes.fasta	Xestes_maker-XT_scaffold183490-snap-gene-0.53-mRNA-1	2	OG_1552 OG_4807
Xesp.fasta	Xesp_011652-T1	2	OG_6018 OG_6312
Helnan.fasta	Helnan_EP00037_Helgoeca_nana_P010489	2	OG_1903 OG_3608
Pbac.fasta	Pbac_sb2643501	3	OG_21 OG_1778 OG_2344
Xestes.fasta	Xestes_maker-XT_scaffold183787-augustus-gene-0.7-mRNA-1	2	OG_3244 OG_5784
Ocar.fasta	Ocar_g9970	2	OG_201 OG_6111
Emue.fasta	Emue_Em0013g272a.t1	2	OG_589 OG_1444
Xesp.fasta	Xesp_011676-T1	2	OG_4205 OG_4854
Pbac.fasta	Pbac_sb2643514	2	OG_6 OG_5321
Pbac.fasta	Pbac_sb2668956	2	OG_235 OG_4363
Ocar.fasta	Ocar_g9983	2	OG_524 OG_592
Pbac.fasta	Pbac_sb2643542	2	OG_1727 OG_2863
Emue.fasta	Emue_Em0001g1487a.t1	2	OG_1949 OG_5547
Salinf.fasta	Salinf_EP00049_Salpingoeca_infusionum_P008022	2	OG_2007 OG_2027
Emue.fasta	Emue_Em0013g288a.t1	2	OG_1584 OG_1802
Tcas.fasta	Tcas_TC034458_001	2	OG_2 OG_5443
Salinf.fasta	Salinf_EP00049_Salpingoeca_infusionum_P008019	2	OG_6111 OG_6730
Pbac.fasta	Pbac_sb2643563	2	OG_1585 OG_5749
Opea.fasta	Opea_EP00118_Oscarella_pearsei_P010971	2	OG_5573 OG_6696
Exapal.fasta	Exapal_XM_028660154.1	2	OG_3910 OG_5402
Sanmal.fasta	Sanmal_Sma_023228-T1	2	OG_5303 OG_6169
Emue.fasta	Emue_Em0013g312a.t1	2	OG_579 OG_4349
Pbac.fasta	Pbac_sb2669013	2	OG_1489 OG_2324
Xestes.fasta	Xestes_maker-XT_scaffold185315-snap-gene-0.5-mRNA-1	2	OG_1655 OG_5872
Emue.fasta	Emue_Em0013g317a.t1	2	OG_2130 OG_2937
Halamb.fasta	Halamb_c48353_g1_i1m.24056	2	OG_995 OG_5115
Pbac.fasta	Pbac_sb2643583	2	OG_3591 OG_4383
Adig.fasta	Adig_XM_015910804.1	2	OG_5395 OG_5943
Sanmal.fasta	Sanmal_Sma_023285-T1	2	OG_295 OG_1923
Tetwil.fasta	Tetwil_g17376.t2	2	OG_742 OG_743
Gasp.fasta	Gasp_gasp1.m3.6520.m1	2	OG_307 OG_4125
Hvul.fasta	Hvul_g2843_1	2	OG_2623 OG_3276
Pbac.fasta	Pbac_sb2643617	3	OG_293 OG_961 OG_1526
Salmac.fasta	Salmac_EP00052_Salpingoeca_macrocollata_P024344	2	OG_2666 OG_3978
Diagra.fasta	Diagra_EP00040_Diaphanoeca_grandis_P002660	2	OG_148 OG_740
Amil.fasta	Amil_Amillepora10040-RA	2	OG_625 OG_3401
Stycar.fasta	Stycar_maker-SC_scaffold74170-snap-gene-0.23-mRNA-1	2	OG_2333 OG_3489
Mbre.fasta	Mbre_EDQ84296	2	OG_4916 OG_5006
Amil.fasta	Amil_Amillepora10102-RA	2	OG_2826 OG_4157
Mlei.fasta	Mlei_ML2189.g40.i1	2	OG_1351 OG_2298
Fspp.fasta	Fspp_ffun1.m4.21049.m1	2	OG_2857 OG_5198
Mylflu.fasta	Mylflu_EP00047_Mylnosiga_fluctuans_P019199	2	OG_314 OG_3047
Pbac.fasta	Pbac_sb2643686	2	OG_195 OG_6345
Pbac.fasta	Pbac_sb2669093	2	OG_4617 OG_5743
Xestes.fasta	Xestes_maker-XT_scaffold187349-augustus-gene-0.10-mRNA-1	2	OG_328 OG_2599
Pbac.fasta	Pbac_sb2669113	2	OG_2941 OG_4047
Exapal.fasta	Exapal_XM_028660340.1	2	OG_5240 OG_6249
Pbac.fasta	Pbac_sb2643727	3	OG_2713 OG_3232 OG_5366
Pbac.fasta	Pbac_sb2669147	2	OG_509 OG_1165
Pbac.fasta	Pbac_sb2643730	2	OG_1219 OG_1390
Sanmal.fasta	Sanmal_Sma_023374-T1	2	OG_545 OG_6615
Xestes.fasta	Xestes_maker-XT_scaffold187658-augustus-gene-0.265-mRNA-1	2	OG_1044 OG_2481
Sanmal.fasta	Sanmal_Sma_023379-T1	2	OG_806 OG_3383
Xesp.fasta	Xesp_011839-T1	2	OG_2966 OG_3975
Xestes.fasta	Xestes_maker-XT_scaffold18769-snap-gene-0.27-mRNA-1	2	OG_7 OG_2634
Pbac.fasta	Pbac_sb2643756	2	OG_5459 OG_5845
Sros.fasta	Sros_EGD76744	2	OG_3826 OG_5996
Pbac.fasta	Pbac_sb2669171	2	OG_1075 OG_4684
Sanmal.fasta	Sanmal_Sma_023401-T1	2	OG_595 OG_2484
Bralan.fasta	Bralan_BLAG06000849_1	2	OG_1204 OG_1206
Stycar.fasta	Stycar_maker-SC_scaffold7498-augustus-gene-0.26-mRNA-1	2	OG_761 OG_2772
Gasp.fasta	Gasp_gasp1.m3.6703.m1	2	OG_4354 OG_5807
Tcas.fasta	Tcas_TC034874_001	2	OG_3790 OG_5312
Pbac.fasta	Pbac_sb2669224	2	OG_2518 OG_6423
Mbre.fasta	Mbre_EDQ84484	2	OG_853 OG_2832
Skow.fasta	Skow_XM_006812809.1	2	OG_793 OG_6679
Emue.fasta	Emue_Em0013g489a.t1	2	OG_1685 OG_4230
Nemnom.fasta	Nemnom_g1768.t1	2	OG_1413 OG_2671
Pbac.fasta	Pbac_sb2669236	2	OG_3782 OG_4814
Tcas.fasta	Tcas_TC035002_001	2	OG_4087 OG_6041
Pbac.fasta	Pbac_sb2669265	2	OG_5630 OG_6730
Tetwil.fasta	Tetwil_g17633.t2	2	OG_410 OG_1860
Sanmal.fasta	Sanmal_Sma_023476-T1	2	OG_1836 OG_2125
Tetwil.fasta	Tetwil_g17643.t1	2	OG_1073 OG_4355
Spis.fasta	Spis_XP_022789428_1	2	OG_1132 OG_4390
Mbre.fasta	Mbre_EDQ84595	2	OG_40 OG_2857
Horcal.fasta	Horcal_Hcv1.av93.c2.g673.i1	2	OG_195 OG_6345
Fspp.fasta	Fspp_ffun1.m4.21259.m1	2	OG_1371 OG_3450
Xesp.fasta	Xesp_011990-T1	2	OG_2375 OG_4326
