orthogroup	orthogroup_name_Mus	presence_expression	gain_expression	loss_expression	presence_conservation	gain_conservation	loss_conservation	n_presences_sps	is_tfs	is_ion	is_sig	is_neu	is_siggpcr	is_myo	genes_Tadh	genes_TrH2	genes_Hhon	genes_HoiH23	genes_Nvec	genes_Spis	genes_Hvul	genes_Mmus	genes_Dmel	genes_Mlei	genes_Spolac	annot_tfs	annot_ion	annot_sig	annot_neu	annot_siggpcr	annot_myo	pfam_architecture
OG_1449	TCF3/TCF4/TCF12/Tcf4	Hhon,HoiH23,Hvul,Mmus,Spis,Tadh,TrH2	CniBilPla	Dmel,Nvec	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT8076	TrH2_TrispH2_001049-RA	Hhon_g02873.t1	HoiH23_PlH23_009657-RA		Spis_XP_022797670_1	Hvul_g2666_1	Mmus_ENSMUST00000066717				HLH.HG2.20:TCF3/TCF4/TCF12						HLH/
OG_2319	Egr1/EGR1/EGR2/EGR3/EGR4	Dmel,Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Mmus	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT17956	TrH2_TrispH2_005118-RA	Hhon_g02289.t1	HoiH23_PlH23_003745-RA	Nvec_v1g39805		Hvul_g2140_1	Mmus_ENSMUST00000064795	Dmel_FBtr0330050			zf-C2H2.HG13.4:EGR1/EGR2/EGR3/EGR4						zf-C2H2/zf-C2H2/zf-C2H2/
OG_3275	XBP1	Hhon,HoiH23,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Bilateria	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64159	TrH2_TrispH2_005934-RA	Hhon_g02674.t1	HoiH23_PlH23_000692-RA			Hvul_g10594_1					bZIP.HG2.5:XBP1						bZIP_1/
OG_4922	PLAGL1/ZNF367/PLAGL1/ZNF367;zf-met.HG1.87	Dmel,Hhon,HoiH23,Tadh,TrH2	CniBilPla	Cnidaria,Mmus	Dmel,Hhon,HoiH23,Hvul,Mmus,Spis,Tadh,TrH2	CniBilPla	Nvec	5	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT15889	TrH2_TrispH2_006817-RA	Hhon_g02092.t1	HoiH23_PlH23_008115-RA					Dmel_FBtr0070680			zf-C2H2.HG4.2:PLAGL1/ZNF367,zf-C2H2.HG4.2:PLAGL1/ZNF367;zf-met.HG1.87:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883						zf-C2H2/zf-C2H2/
OG_4096	SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526/SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526;zf-met.HG1.40	Dmel,Hhon,HoiH23,TrH2	CniBilPla	Cnidaria,Mmus,Tadh	Dmel,Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Hvul	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT20314	TrH2_TrispH2_000209-RA	Hhon_g04501.t1	HoiH23_PlH23_000744-RA					Dmel_FBtr0073165,Dmel_FBtr0073166			zf-C2H2.HG12.1:SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526,zf-C2H2.HG12.1:SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526;zf-met.HG1.40:PRDM5/SNAI1/SNAI2/SNAI3						zf-C2H2/zf-C2H2_6/zf-C2H2/zf-C2H2/zf-C2H2/
OG_657	TBX2/TBX3	Dmel,Hhon,HoiH23,Tadh	CniBilPla	Cnidaria,Mmus,TrH2	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT59753	TrH2_TrispH2_000333-RA	Hhon_g06969.t1	HoiH23_PlH23_000389-RA					Dmel_FBtr0331162			T-box.HG1.14:TBX2/TBX3						T-box/
OG_10032	IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla		4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT24265	TrH2_TrispH2_005337-RA	Hhon_g00976.t1	HoiH23_PlH23_001639-RA					Dmel_FBtr0075908			Homeodomains.HG4.1:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX						Homeobox_KN/
OG_1591	JUN/JUNB/JUND	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64084	TrH2_TrispH2_000596-RA	Hhon_g00092.t1	HoiH23_PlH23_002814-RA								bZIP.HG1.9:JUN/JUNB/JUND						Jun/bZIP_1/
OG_3155	Fos_proto_oncogene_AP_1_transcription_factor_subunit/FOS/FOSB/FOSL1/FOSL2	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g1382.t1	TrH2_TrispH2_007219-RA	Hhon_g04000.t1	HoiH23_PlH23_006937-RA,HoiH23_PlH23_006938-RA								bZIP.HG1.12:FOS/FOSB/FOSL1/FOSL2						bZIP_1/
OG_4461	PAX2/PAX4/PAX5/PAX6/PAX8	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT29410	TrH2_TrispH2_002076-RA	Hhon_g09266.t1	HoiH23_PlH23_005936-RA								Homeodomains.HG2.9:PAX2/PAX4/PAX5/PAX6/PAX8						PAX/Homeodomain/
