orthogroup	orthogroup_name
OG_1	OG_1:A830018L16Rik/chromosome_8_open_reading_frame_34
OG_4	OG_4:HECT_and_RLD_domain_containing_E3_ubiquitin_protein_ligase_4/HECT_domain_E3_ubiquitin_protein_ligase_2/ubiquitin_protein_ligase_E3A
OG_10	OG_10:phospholipase_D_family_member_3/Pld3
OG_13	OG_13:pirin
OG_15	OG_15:ADAM_metallopeptidase_domain_10/ADAM_metallopeptidase_domain_17
OG_16	OG_16:ankyrin_repeat_and_FYVE_domain_containing_1/ankyrin_repeat_and_MYND_domain_containing_2/ankyrin_repeat_and_SOCS_box_containing_2/ankyrin_repeat_domain_28/ankyrin_repeat_domain_52/ankyrin_repeat_domain_55/ankyrin_repeat_domain_66/euchromatic_histone_lysine_methyltransferase_1/euchromatic_histone_lysine_methyltransferase_2/inversin/notch_receptor_1/nuclear_factor_kappa_B_subunit_1/protein_phosphatase_1_regulatory_subunit_27/tankyrase/tankyrase_2/transient_receptor_potential_cation_channel_subfamily_A_member_1/zinc_finger_DHHC_type_palmitoyltransferase_17
OG_27	OG_27:ADP_ribosylation_factor_like_GTPase_13B
OG_31	OG_31:Ank3/ankyrin_1/ankyrin_2/ankyrin_3/apoptotic_peptidase_activating_factor_1/CASP2_and_RIPK1_domain_containing_adaptor_with_death_domain/caspase_2/Fas_associated_via_death_domain/kinesin_light_chain_2/leucine_rich_repeat_kinase_1/leucine_rich_repeat_kinase_2/MYD88_innate_immune_signal_transduction_adaptor/p53_induced_death_domain_protein_1/splA_ryanodine_receptor_domain_and_SOCS_box_containing_1/splA_ryanodine_receptor_domain_and_SOCS_box_containing_4/tetratricopeptide_repeat_domain_27/THO_complex_1/TNF_receptor_superfamily_member_10a/TNF_receptor_superfamily_member_21/TNFRSF1A_associated_via_death_domain/transmembrane_O_mannosyltransferase_targeting_cadherins_2
OG_37	OG_37:RAS_like_proto_oncogene_A
OG_41	OG_41:PIN2_TERF1_interacting_telomerase_inhibitor_1
OG_62	OG_62:dual_specificity_phosphatase_15/dual_specificity_phosphatase_22
OG_63	OG_63:
OG_66	OG_66:Sort1/transmembrane_protein_267
