TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_hyp_clust2989.t1		
TrH2_hyp_clust3383.t1		
TrH2_hyp_clust5004.t1	prolyl_endopeptidase	Peptidase_S9_N/
TrH2_hyp_clust5143.t1	protein_O_fucosyltransferase_1	O-FucT/
TrH2_hyp_clust5245.t1		
TrH2_hyp_clust5522.t1		RT_RNaseH/
TrH2_hyp_clust5670.t1		
TrH2_hyp_clust8104.t1		GST_N_2/GST_C_2/
TrH2_hyp_clust9682.t1	hepatocyte_nuclear_factor_4_alpha	zf-C4/
TrH2_hyp_clust9823.t1	ubiquitin_C	ubiquitin/ubiquitin/ubiquitin/ubiquitin/
TrH2_TrispH2_000001-RA	tropomodulin_3	Tropomodulin/
TrH2_TrispH2_000002-RA	phosphatidylethanolamine_N_methyltransferase	PEMT/
TrH2_TrispH2_000003-RA	tetratricopeptide_repeat_domain_23_like	
TrH2_TrispH2_000004-RA	LysM_domain_containing_2	LysM/
TrH2_TrispH2_000005-RA	WD_repeat_domain_61	WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_000006-RA	APC_regulator_of_WNT_signaling_pathway	
TrH2_TrispH2_000007-RA	ubiquitin_specific_peptidase_8	USP8_dimer/UCH/
TrH2_TrispH2_000008-RA	centrosomal_protein_78	LRR_6/LRR_6/LRR_6/
TrH2_TrispH2_000009-RA	ALG13_UDP_N_acetylglucosaminyltransferase_subunit	Glyco_tran_28_C/
TrH2_TrispH2_000011-RA	peroxisomal_biogenesis_factor_11_gamma	PEX11/
TrH2_TrispH2_000012-RA	RPL17_C18orf32_readthrough	Ribosomal_L22/
TrH2_TrispH2_000013-RA		UPRTase/
TrH2_TrispH2_000014-RA	ankyrin_repeat_and_MYND_domain_containing_2	Ank_2/zf-MYND/
TrH2_TrispH2_000015-RA	sulfide_quinone_oxidoreductase	Pyr_redox_2/
TrH2_TrispH2_000016-RA	N_terminal_glutamine_amidase_1	Nt_Gln_amidase/
TrH2_TrispH2_000017-RA	SIN3_transcription_regulator_family_member_A	PAH/PAH/PAH/Sin3_corepress/Sin3a_C/
TrH2_TrispH2_000018-RA	ectopic_P_granules_autophagy_protein_5_homolog	
TrH2_TrispH2_000019-RA	patched_domain_containing_3	Patched/
TrH2_TrispH2_000020-RA	tubulin_gamma_complex_associated_protein_6	GCP_N_terminal/GCP_C_terminal/
TrH2_TrispH2_000021-RA	ATP_synthase_F1_subunit_gamma	ATP-synt/
TrH2_TrispH2_000022-RA		
TrH2_TrispH2_000023-RA	dymeclin	Dymeclin/
TrH2_TrispH2_000024-RA	SMAD_family_member_6	MH1/MH2/
TrH2_TrispH2_000025-RA		TMA7/
TrH2_TrispH2_000026-RA	chromosome_1_open_reading_frame_194	DUF3695/
TrH2_TrispH2_000027-RA		DUF4549/
TrH2_TrispH2_000028-RA	solute_carrier_family_41_member_1	MgtE/MgtE/
TrH2_TrispH2_000029-RA	ceramide_synthase_1	TRAM_LAG1_CLN8/
TrH2_TrispH2_000030-RA	ankyrin_repeat_domain_34B	Ank_2/
TrH2_TrispH2_000031-RA	inner_mitochondrial_membrane_peptidase_subunit_2	Peptidase_S24/
TrH2_TrispH2_000032-RA	ATP6V1F_neighbor	
TrH2_TrispH2_000033-RA	RFT1_homolog	Rft-1/Rft-1/
TrH2_TrispH2_000034-RA	germ_cell_less_1_spermatogenesis_associated	BTB/
TrH2_TrispH2_000035-RA	WD_repeat_domain_82	WD40/WD40/WD40/
TrH2_TrispH2_000036-RA	SMAD_family_member_3	MH1/MH2/
TrH2_TrispH2_000037-RA	dihydrofolate_reductase	DHFR_1/
TrH2_TrispH2_000038-RA	isochorismatase_domain_containing_1	Isochorismatase/
TrH2_TrispH2_000039-RA	scaffold_attachment_factor_B	SAP/RRM_1/
TrH2_TrispH2_000040-RA	FYVE_RhoGEF_and_PH_domain_containing_6	RhoGEF/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/MORN/
