HoiH23_g2.t1		
HoiH23_hyp_clust10028.t1	novel_protein	SRCR/
HoiH23_hyp_clust10304.t1		
HoiH23_hyp_clust10752.t1		
HoiH23_hyp_clust10864.t1		
HoiH23_hyp_clust10942.t1		7tm_1/
HoiH23_hyp_clust11033.t1		
HoiH23_hyp_clust1700.t1		
HoiH23_hyp_clust1852.t1		
HoiH23_hyp_clust1886.t1		
HoiH23_hyp_clust2751.t1		
HoiH23_hyp_clust2855.t1		
HoiH23_hyp_clust3515.t1		
HoiH23_hyp_clust4011.t1		
HoiH23_hyp_clust4034.t1		
HoiH23_hyp_clust4260.t1	B_Raf_proto_oncogene_serine_threonine_kinase	Pkinase_Tyr/
HoiH23_hyp_clust5206b.t1	FYN_proto_oncogene_Src_family_tyrosine_kinase	SH2/Pkinase_Tyr/
HoiH23_hyp_clust5206.t1	fyn_related_Src_family_tyrosine_kinase	SH2/Pkinase_Tyr/
HoiH23_hyp_clust5245.t1		
HoiH23_hyp_clust5779.t1	SEM1_26S_proteasome_complex_subunit	DSS1_SEM1/
HoiH23_hyp_clust6323.t1	ubiquitin_C	ubiquitin/ubiquitin/ubiquitin/ubiquitin/
HoiH23_hyp_clust68.t1		
HoiH23_hyp_clust9204.t1	fibroblast_growth_factor_receptor_1	Pkinase_Tyr/
HoiH23_hyp_clust9361.t1	chromobox_3	Chromo/
HoiH23_hyp_clust9443.t1		
HoiH23_PlH23_000001-RA	transmembrane_and_coiled_coil_domains_1	EMC3_TMCO1/
HoiH23_PlH23_000002-RA	calcium_channel_flower_domain_containing_1	Cg6151-P/
HoiH23_PlH23_000003-RA	RAS_protein_activator_like_2	C2/RasGAP/DUF3498/
HoiH23_PlH23_000004-RA	alpha_tubulin_acetyltransferase_1	Acetyltransf_16/
HoiH23_PlH23_000005-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/
HoiH23_PlH23_000006-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/
HoiH23_PlH23_000007-RA	sec1_family_domain_containing_2	Sec1/
HoiH23_PlH23_000008-RA	synaptotagmin_9	C2/C2/
