# pfam_scan.pl,  run at Fri Dec 10 13:51:18 2021
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jaina@ebi.ac.uk), 
#          Rob Finn (rdf@ebi.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /nfs/users2/asebe/xgraubove/genomes/annotation_functional/Tadh_long.pep.fasta
#        searching against: /nfs/users2/asebe/xgraubove/data/pfam/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

Tadh_wf_g1.t1              117    161    105    164 PF13855.7   LRR_8             Repeat    14    58    61     34.3   1.5e-08   1 CL0022   
Tadh_TriadT51254           101    160    100    160 PF13855.7   LRR_8             Repeat     2    61    61     44.4     1e-11   1 CL0022   
Tadh_wf_g8.t1              127    339    115    339 PF00001.22  7tm_1             Family    47   263   263     58.8   5.1e-16   1 CL0192   
Tadh_TriadT51258           267    313    266    314 PF00628.30  PHD               Domain     2    51    52     34.1   1.8e-08   1 CL0390   
Tadh_TriadT18229             1    233      1    233 PF00001.22  7tm_1             Family    25   263   263     81.5   6.3e-23   1 CL0192   
Tadh_TriadT51260            28     86     26     86 PF13855.7   LRR_8             Repeat     3    61    61     33.4   2.8e-08   1 CL0022   
Tadh_TriadT51260           173    225    172    225 PF13855.7   LRR_8             Repeat     2    54    61     27.1   2.6e-06   1 CL0022   
Tadh_TriadT51261            81    139     80    139 PF13855.7   LRR_8             Repeat     3    61    61     51.3     7e-14   1 CL0022   
Tadh_TriadT51261           177    232    176    235 PF13855.7   LRR_8             Repeat     2    57    61     30.2   2.8e-07   1 CL0022   
Tadh_TriadT51261           260    380    259    390 PF13306.7   LRR_5             Repeat     5   118   128     12.4      0.12   1 CL0022   
Tadh_TriadT51263           175    376    173    396 PF01432.21  Peptidase_M3      Family     3   218   458    101.7   5.7e-29   1 CL0126   
Tadh_TriadT51263           414    598    410    600 PF01432.21  Peptidase_M3      Family   266   456   458    150.0   1.3e-43   1 CL0126   
