TrH2_TrispH2_000465-RA	ENSP00000362680.2	55.6	63	25	1	92	154	90	149	1.1e-12	72.4
TrH2_TrispH2_000466-RA	ENSP00000476145.1	55.6	455	182	7	60	500	49	497	1.4e-138	492.3
TrH2_TrispH2_000467-RA	ENSP00000476145.1	55.2	458	185	6	63	506	48	499	6.6e-144	510.0
TrH2_TrispH2_000468-RA	ENSP00000382130.3	21.9	270	146	3	88	357	76	280	6.3e-10	65.9
TrH2_TrispH2_000469-RA	ENSP00000307129.5	24.1	253	189	2	9	259	3	254	1.1e-18	93.2
TrH2_TrispH2_000471-RA	ENSP00000371101.5	55.7	528	207	6	1	514	1	515	1.2e-175	615.9
TrH2_TrispH2_000472-RA	ENSP00000263956.3	36.5	819	436	7	166	962	130	886	1.2e-138	493.4
TrH2_TrispH2_000473-RA	ENSP00000357425.4	29.1	385	215	16	118	487	37	378	1.4e-29	131.3
TrH2_TrispH2_000475-RA	ENSP00000295256.5	35.1	205	119	5	1	199	1	197	4.5e-27	120.6
TrH2_TrispH2_000476-RA	ENSP00000295256.5	34.0	206	121	7	1	201	1	196	3.8e-26	117.5
TrH2_TrispH2_000477-RA	ENSP00000295256.5	35.0	203	126	3	1	203	1	197	9.8e-30	129.4
TrH2_TrispH2_000478-RA	ENSP00000402659.1	33.7	744	408	10	100	767	50	784	1.3e-111	403.3
TrH2_TrispH2_000479-RA	ENSP00000357002.3	43.1	109	61	1	5	113	14	121	1.3e-18	91.7
TrH2_TrispH2_000480-RA	ENSP00000353575.2	36.3	366	193	9	1	348	1	344	1.5e-53	209.9
TrH2_TrispH2_000481-RA	ENSP00000417160.1	37.3	872	496	19	40	901	74	904	4.7e-161	567.8
TrH2_TrispH2_000482-RA	ENSP00000470262.1	55.4	112	50	0	6	117	3	114	2.2e-29	127.5
TrH2_TrispH2_000484-RA	ENSP00000260599.6	37.4	297	175	6	9	299	2	293	1.2e-52	206.1
TrH2_TrispH2_000485-RA	ENSP00000349959.3	32.6	1687	900	24	38	1517	32	1688	1.6e-225	782.7
TrH2_TrispH2_000486-RA	ENSP00000308450.5	54.6	421	178	5	77	488	70	486	5.5e-135	480.3
TrH2_TrispH2_000487-RA	ENSP00000272425.3	21.3	122	85	3	20	135	80	196	7.2e-04	43.1
TrH2_TrispH2_000489-RA	ENSP00000406598.1	42.6	345	191	5	16	355	2	344	1.6e-72	272.3
TrH2_TrispH2_000490-RA	ENSP00000054666.6	59.4	69	28	0	2	70	11	79	1.7e-16	84.3
TrH2_TrispH2_000491-RA	ENSP00000374135.3	32.5	453	282	11	265	706	2890	3329	2.1e-38	160.2
TrH2_TrispH2_000492-RA	ENSP00000499708.1	55.8	43	19	0	25	67	2	44	1.4e-09	61.2
TrH2_TrispH2_000493-RA	ENSP00000354916.6	45.7	576	209	6	1	575	1	473	3.7e-135	481.1
