HoiH23_PlH23_009368-RA	ENSP00000349259.4	38.0	2092	1257	12	6	2091	31	2087	0.0e+00	1365.9
HoiH23_PlH23_009369-RA	ENSP00000349259.4	32.7	2423	1466	22	9	2420	31	2299	0.0e+00	1260.4
HoiH23_PlH23_009377-RA	ENSP00000302811.5	23.3	227	159	5	87	310	100	314	5.8e-05	47.8
HoiH23_PlH23_006899-RA	ENSP00000265138.3	26.7	311	208	7	12	315	16	313	6.2e-23	107.8
HoiH23_PlH23_006900-RA	ENSP00000222250.3	28.8	313	201	8	8	310	6	306	2.4e-23	109.4
HoiH23_PlH23_006902-RA	ENSP00000265138.3	27.0	289	188	7	7	283	12	289	3.0e-19	95.1
HoiH23_PlH23_006903-RA	ENSP00000265138.3	31.1	396	241	12	3	387	4	378	2.4e-36	152.5
HoiH23_PlH23_006904-RA	ENSP00000265138.3	31.7	325	202	9	5	318	11	326	2.0e-35	149.4
HoiH23_PlH23_006905-RA	ENSP00000265138.3	27.6	333	205	10	3	322	5	314	6.8e-24	110.9
HoiH23_PlH23_006906-RA	ENSP00000265138.3	27.1	351	234	12	3	340	5	346	3.2e-23	108.6
HoiH23_PlH23_006907-RA	ENSP00000265138.3	28.4	349	230	11	380	721	1	336	4.1e-23	109.4
HoiH23_PlH23_006908-RA	ENSP00000265138.3	30.2	308	188	9	12	304	18	313	9.3e-28	123.6
HoiH23_PlH23_006909-RA	ENSP00000265138.3	35.2	310	185	10	428	734	22	318	1.4e-42	174.1
HoiH23_PlH23_006910-RA	ENSP00000265138.3	31.2	320	201	12	6	323	12	314	9.6e-29	127.1
HoiH23_PlH23_006911-RA	ENSP00000265138.3	33.9	327	197	10	5	326	11	323	1.1e-40	166.8
HoiH23_PlH23_006912-RA	ENSP00000265138.3	33.5	322	195	9	2	319	8	314	1.3e-43	176.8
HoiH23_PlH23_006913-RA	ENSP00000265138.3	34.7	317	192	9	5	319	11	314	1.8e-44	179.5
