Hhon_g00001.t1	zinc_finger_BED_type_containing_6	Dimer_Tnp_hAT/
Hhon_g00002.t1		
Hhon_g00003.t1		
Hhon_g00004.t1		
Hhon_g00005.t1		
Hhon_g00006.t1		
Hhon_g00007.t1		
Hhon_g00008.t1		
Hhon_g00009.t1		
Hhon_g00010.t1		
Hhon_g00011.t1		
Hhon_g00012.t1		
Hhon_g00013.t1		
Hhon_g00014.t1		
Hhon_g00015.t1		
Hhon_g00016.t1		
Hhon_g00017.t1		
Hhon_g00018.t1		
Hhon_g00019.t1	insulin_receptor_substrate_1	PH/IRS/
Hhon_g00020.t1	N_6_adenine_specific_DNA_methyltransferase_1	MTS/
Hhon_g00021.t1		
Hhon_g00022.t1	DDB1_and_CUL4_associated_factor_13	WD40/WD40/ANAPC4_WD40/Sof1/
Hhon_g00023.t1	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
Hhon_g00024.t1	glutamate_metabotropic_receptor_1	ANF_receptor/7tm_3/
Hhon_g00025.t1	regulating_synaptic_membrane_exocytosis_2	FYVE_2/C2/C2/
Hhon_g00026.t1	ATPase_H_transporting_V1_subunit_H	V-ATPase_H_N/V-ATPase_H_C/
Hhon_g00027.t1	LKAAEAR_motif_containing_1	LKAAEAR/
Hhon_g00028.t1	solute_carrier_family_22_member_18	MFS_1/
Hhon_g00029.t1	3_hydroxyacyl_CoA_dehydratase_2	PTPLA/
Hhon_g00030.t1	iodothyronine_deiodinase_1	T4_deiodinase/
Hhon_g00031.t1	iodothyronine_deiodinase_1	T4_deiodinase/
Hhon_g00032.t1	iodothyronine_deiodinase_1	T4_deiodinase/
Hhon_g00033.t1	transmembrane_9_superfamily_member_1	EMP70/
Hhon_g00034.t1	RAD52_motif_containing_1	RRM_1/Rad52_Rad22/
Hhon_g00035.t1	apolipoprotein_O	ApoO/
Hhon_g00036.t1	solute_carrier_family_22_member_18	MFS_1/
Hhon_g00037.t1	insulin_receptor_substrate_1	PH/IRS/
Hhon_g00038.t1		CD20/
Hhon_g00039.t1		
Hhon_g00040.t1	solute_carrier_family_12_member_8	AA_permease/
Hhon_g00041.t1	STT3_oligosaccharyltransferase_complex_catalytic_subunit_A	STT3/
Hhon_g00042.t1	glutamate_rich_3	DUF4590/LRR_6/LRR_6/LRR_6/LRR_6/
Hhon_g00043.t1	solute_carrier_family_25_member_32	Mito_carr/Mito_carr/Mito_carr/
Hhon_g00044.t1	DnaJ_heat_shock_protein_family_Hsp40_member_C27	Ras/DnaJ/
Hhon_g00045.t1		
Hhon_g00046.t1		
Hhon_g00047.t1	selenoprotein_O	UPF0061/
Hhon_g00048.t1	RNA_binding_motif_protein_24	RRM_1/
Hhon_g00049.t1		
Hhon_g00050.t1	cyclase_associated_actin_cytoskeleton_regulatory_protein_2	CAP_C/
Hhon_g00051.t1	valosin_containing_protein_lysine_methyltransferase	Methyltransf_16/
Hhon_g00052.t1		MORN/MORN/MORN/MORN/MORN/
Hhon_g00053.t1	solute_carrier_family_25_member_16	Mito_carr/Mito_carr/Mito_carr/
Hhon_g00054.t1	poly_A_binding_protein_cytoplasmic_4	RRM_1/RRM_1/RRM_1/RRM_1/PABP/
Hhon_g00055.t1		
Hhon_g00056.t1		
Hhon_g00057.t1	fukutin	LicD/
Hhon_g00058.t1	solute_carrier_family_35_member_E1	TPT/
Hhon_g00059.t1	forkhead_box_E1	Forkhead/
Hhon_g00060.t1	ankyrin_repeat_domain_55	Ank_2/
Hhon_g00061.t1	glycine_decarboxylase	GDC-P/
Hhon_g00062.t1	forkhead_box_D3	Forkhead/
Hhon_g00063.t1		
Hhon_g00064.t1	COBW_domain_containing_1	cobW/CobW_C/
Hhon_g00065.t1	inversin	Ank_2/Ank_2/
Hhon_g00066.t1	bone_morphogenetic_protein_2	TGFb_propeptide/TGF_beta/
Hhon_g00067.t1	SAS_6_centriolar_assembly_protein	SAS-6_N/
Hhon_g00068.t1	origin_recognition_complex_subunit_1	AAA/AAA_lid_10/Cdc6_C/
Hhon_g00069.t1		Abhydrolase_3/
Hhon_g00070.t1		
Hhon_g00071.t1		Tim17/
Hhon_g00072.t1	CWC27_spliceosome_associated_cyclophilin	Pro_isomerase/
Hhon_g00073.t1	dihydrolipoamide_branched_chain_transacylase_E2	Biotin_lipoyl/E3_binding/2-oxoacid_dh/
Hhon_g00074.t1	SSX_family_member_2_interacting_protein	ADIP/
Hhon_g00075.t1	serine_carboxypeptidase_1	Peptidase_S10/
Hhon_g00076.t1	serine_carboxypeptidase_1	Peptidase_S10/
Hhon_g00077.t1	serine_carboxypeptidase_1	Peptidase_S10/
Hhon_g00078.t1	ERCC_excision_repair_4_endonuclease_catalytic_subunit	ERCC4/ASC/
Hhon_g00079.t1	acid_sensing_ion_channel_subunit_1	ASC/
Hhon_g00080.t1	acid_sensing_ion_channel_subunit_3	ASC/
Hhon_g00081.t1	WD_repeat_domain_18	WD40/WD40/WD40/
Hhon_g00082.t1	elongation_factor_1_homolog	Elf1/
Hhon_g00083.t1	acid_sensing_ion_channel_subunit_2	ASC/
Hhon_g00084.t1	acid_sensing_ion_channel_subunit_2	ASC/
Hhon_g00085.t1	kynureninase	Aminotran_5/
Hhon_g00086.t1	DDB1_and_CUL4_associated_factor_15	DCAF15_WD40/
Hhon_g00087.t1	prolyl_tRNA_synthetase_2_mitochondrial	tRNA-synt_2b/HGTP_anticodon/
Hhon_g00088.t1	eukaryotic_translation_initiation_factor_2B_subunit_beta	IF-2B/
Hhon_g00089.t1	sperm_flagellar_2	CH_2/ADK/
Hhon_g00090.t1	ubiquitin_specific_peptidase_24	UCH/DUF3517/
Hhon_g00091.t1	heat_shock_protein_family_B_small_member_11	F5_F8_type_C/
Hhon_g00092.t1	Jun_proto_oncogene_AP_1_transcription_factor_subunit	Jun/bZIP_1/
Hhon_g00093.t1	eukaryotic_translation_elongation_factor_1_epsilon_1	GST_C/
Hhon_g00094.t1	thyroid_hormone_receptor_interactor_4	zf-C2HC5/ASCH/
Hhon_g00095.t1	thioredoxin_domain_containing_15	Thioredoxin/
Hhon_g00096.t1	NLR_family_pyrin_domain_containing_8	LRR_6/
Hhon_g00097.t1	DNA_replication_helicase_nuclease_2	Dna2/AAA_11/AAA_11/AAA_12/
Hhon_g00098.t1	ribosomal_protein_S12	Ribosomal_L7Ae/
Hhon_g00099.t1		Beta_helix/
Hhon_g00100.t1		
Hhon_g00101.t1	ADP_ribosylation_factor_guanine_nucleotide_exchange_factor_1	DCB/Sec7_N/Sec7/DUF1981/
Hhon_g00102.t1	regulator_of_chromosome_condensation_1	RCC1/RCC1/RCC1/RCC1/RCC1/RCC1/
Hhon_g00103.t1	oxidative_stress_responsive_serine_rich_1	
