# pfam_scan.pl,  run at Fri Dec 10 13:28:11 2021
#
# Copyright (c) 2009 Genome Research Ltd
# Freely distributed under the GNU 
# General Public License
#
# Authors: Jaina Mistry (jaina@ebi.ac.uk), 
#          Rob Finn (rdf@ebi.ac.uk)
#
# This is free software; you can redistribute it and/or modify it under
# the terms of the GNU General Public License as published by the Free Software
# Foundation; either version 2 of the License, or (at your option) any later version.
# This program is distributed in the hope that it will be useful, but WITHOUT
# ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS
# FOR A PARTICULAR PURPOSE. See the GNU General Public License for more
# details.
#
# You should have received a copy of the GNU General Public License along with
# this program. If not, see <http://www.gnu.org/licenses/>. 
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#      query sequence file: /nfs/users2/asebe/xgraubove/genomes/annotation_functional/Hhon_long.pep.fasta
#        searching against: /nfs/users2/asebe/xgraubove/data/pfam/Pfam-A.hmm, with cut off --cut_ga
#    resolve clan overlaps: on
#     predict active sites: off
# = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =
#
# <seq id> <alignment start> <alignment end> <envelope start> <envelope end> <hmm acc> <hmm name> <type> <hmm start> <hmm end> <hmm length> <bit score> <E-value> <significance> <clan>

Hhon_g00001.t1           545    608    545    624 PF05699.15  Dimer_Tnp_hAT     Domain     1    69    86     23.3     4e-05   1 No_clan  
Hhon_g00019.t1             9    106      7    108 PF00169.30  PH                Domain     3   103   105     29.7     7e-07   1 CL0266   
Hhon_g00019.t1           119    217    117    220 PF02174.18  IRS               Domain     3    96   100     63.4   1.4e-17   1 CL0266   
Hhon_g00020.t1            27    127     16    138 PF05175.15  MTS               Domain    20   109   170     27.5   2.1e-06   1 CL0063   
Hhon_g00022.t1            59     95     57     95 PF00400.33  WD40              Repeat     4    38    38     23.9   5.4e-05   1 CL0186   
Hhon_g00022.t1           100    136     99    136 PF00400.33  WD40              Repeat     2    37    38     28.0   2.7e-06   1 CL0186   
Hhon_g00022.t1           270    335    254    369 PF12894.8   ANAPC4_WD40       Repeat    23    91    92     21.4   0.00023   1 CL0186   
Hhon_g00022.t1           354    440    354    440 PF04158.15  Sof1              Family     1    87    87    102.3   1.3e-29   1 No_clan  
Hhon_g00023.t1            72    479     71    480 PF01094.29  ANF_receptor      Family     2   353   354    242.6   6.5e-72   1 CL0144   
Hhon_g00023.t1           523    573    523    576 PF07562.15  NCD3G             Family     1    50    53     45.8   4.4e-12   1 CL0607   
