orthogroup	transcript	species	gene	name
OG_1	TrH2_TrispH2_004461-RA	TrH2	TrH2_TrispH2_004461	zinc_finger_BED_type_containing_6
OG_1	Tadh_wf_g7100.t1	Tadh	Tadh_wf_g7100	zinc_finger_BED_type_containing_6
OG_1	HoiH23_PlH23_009112-RA	HoiH23	HoiH23_PlH23_009112	zinc_finger_BED_type_containing_6
OG_1	Hhon_g00001.t1	Hhon	Hhon_g00001.t1	zinc_finger_BED_type_containing_6
OG_2	TrH2_TrispH2_004460-RA	TrH2	TrH2_TrispH2_004460	
OG_2	HoiH23_PlH23_009111-RA	HoiH23	HoiH23_PlH23_009111	
OG_2	Tadh_TriadT58222	Tadh	Tadh_TriadG58222	
OG_2	Hhon_g00002.t1	Hhon	Hhon_g00002.t1	
OG_3	Hhon_g00003.t1	Hhon	Hhon_g00003.t1	
OG_3	HoiH23_PlH23_009110-RA	HoiH23	HoiH23_PlH23_009110	
OG_3	TrH2_TrispH2_004459-RA	TrH2	TrH2_TrispH2_004459	
OG_3	Tadh_TriadT58221	Tadh	Tadh_TriadG58221	
OG_4	Hhon_g00004.t1	Hhon	Hhon_g00004.t1	
OG_4	HoiH23_PlH23_009109-RA	HoiH23	HoiH23_PlH23_009109	
OG_4	Tadh_TriadT58220	Tadh	Tadh_TriadG58220	
OG_4	TrH2_TrispH2_004458-RA	TrH2	TrH2_TrispH2_004458	
OG_5	HoiH23_PlH23_009108-RA	HoiH23	HoiH23_PlH23_009108	
OG_5	Hhon_g00005.t1	Hhon	Hhon_g00005.t1	
OG_5	TrH2_TrispH2_004457-RA	TrH2	TrH2_TrispH2_004457	
OG_5	Tadh_TriadT58219	Tadh	Tadh_TriadG58219	
OG_6	Hhon_g00012.t1	Hhon	Hhon_g00012.t1	
OG_6	HoiH23_PlH23_008531-RA	HoiH23	HoiH23_PlH23_008531	
OG_6	TrH2_TrispH2_000679-RA	TrH2	TrH2_TrispH2_000679	
OG_6	Tadh_TriadT58215	Tadh	Tadh_TriadG58215	
OG_7	HoiH23_PlH23_008528-RA	HoiH23	HoiH23_PlH23_008528	
OG_7	TrH2_TrispH2_000677-RA	TrH2	TrH2_TrispH2_000677	
OG_7	Hhon_g00014.t1	Hhon	Hhon_g00014.t1	
OG_7	Tadh_TriadT58213	Tadh	Tadh_TriadG58213	
OG_8	TrH2_TrispH2_000676-RA	TrH2	TrH2_TrispH2_000676	
OG_8	Tadh_TriadT58212	Tadh	Tadh_TriadG58212	
OG_8	Hhon_g00015.t1	Hhon	Hhon_g00015.t1	
OG_8	HoiH23_PlH23_008527-RA	HoiH23	HoiH23_PlH23_008527	
OG_9	Hhon_g00020.t1	Hhon	Hhon_g00020.t1	N_6_adenine_specific_DNA_methyltransferase_1
OG_9	TrH2_TrispH2_000671-RA	TrH2	TrH2_TrispH2_000671	N_6_adenine_specific_DNA_methyltransferase_1
OG_9	HoiH23_PlH23_008521-RA	HoiH23	HoiH23_PlH23_008521	N_6_adenine_specific_DNA_methyltransferase_1
